审阅包,定位编号,任务,审阅状态,专家姓名,是否同意初步归因,主因,次因,错误知识或步骤,建议的正确操作,知识依据或标准答案,训练用途,备注
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-204-C01,三维封闭腔自然对流,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-204-C02,三维封闭腔自然对流,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-204-C03,三维封闭腔自然对流,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-204-C04,三维封闭腔自然对流,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-204-C05,三维封闭腔自然对流,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-204-C06,三维封闭腔自然对流,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-204-C07,三维封闭腔自然对流,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-204-C08,三维封闭腔自然对流,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-204-C09,三维封闭腔自然对流,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-204-C10,三维封闭腔自然对流,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-204-C11,三维封闭腔自然对流,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-204-C12,三维封闭腔自然对流,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-203-C01,温度依赖黏度与能量输运,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-203-C02,温度依赖黏度与能量输运,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-203-C03,温度依赖黏度与能量输运,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-203-C04,温度依赖黏度与能量输运,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-203-C05,温度依赖黏度与能量输运,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-203-C06,温度依赖黏度与能量输运,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-203-C07,温度依赖黏度与能量输运,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-203-Q01,温度依赖黏度与能量输运,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-203-Q02,温度依赖黏度与能量输运,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-203-Q03,温度依赖黏度与能量输运,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-203-Q04,温度依赖黏度与能量输运,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-203-Q05,温度依赖黏度与能量输运,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-203-Q06,温度依赖黏度与能量输运,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-203-Q07,温度依赖黏度与能量输运,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-202-C01,多区域传热与接触热阻,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-202-C02,多区域传热与接触热阻,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-202-C03,多区域传热与接触热阻,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-202-C04,多区域传热与接触热阻,未审阅,,,,,,,,待审，不自动入库,
