cell_id,x_m,y_m,z_m,volume_m3,T_K
0,0.000538272,0.0019915,-0.0132184,6.80654e-10,540.257
1,0.00051902,0.00199033,-0.0121483,6.55434e-10,555.776
2,0.0014623,0.00195487,-0.0131678,8.10422e-10,530.26
3,0.00132804,0.00194886,-0.0119677,6.61813e-10,549.025
4,0.00190046,0.00146811,-0.0131277,8.45217e-10,515.739
5,0.00167789,0.00147041,-0.0118415,6.35163e-10,539.715
6,0.00193426,0.000493304,-0.0131271,7.45626e-10,490.523
7,0.00170463,0.000494246,-0.0118357,5.53727e-10,519.054
8,0.00135413,0.000306393,-0.0131974,4.11336e-10,490.101
9,0.00126796,0.000308579,-0.0120225,3.55901e-10,512.689
10,0.00124032,0.000884445,-0.0131969,5.18419e-10,512.6
11,0.00116201,0.000883058,-0.0120418,4.68957e-10,534.673
12,0.000914099,0.00121902,-0.0132132,5.12801e-10,526.182
13,0.000870342,0.00121292,-0.0121108,4.73751e-10,545.263
14,0.000351365,0.00133336,-0.013231,4.10015e-10,535.081
15,0.000345968,0.00133199,-0.0121872,4.05201e-10,552.078
16,0.00267683,0.00169573,-0.0130735,1.4612e-09,507.506
17,0.00366618,0.00166858,-0.0131231,1.36342e-09,488.337
18,0.00243091,0.00170871,-0.0117658,1.58965e-09,526.467
19,0.00359159,0.00168607,-0.0119436,1.47663e-09,498.712
20,0.00275033,0.000569177,-0.0130742,1.6995e-09,480.457
21,0.00388127,0.000570062,-0.013123,1.59398e-09,460.342
22,0.00250736,0.000563961,-0.0117687,1.83573e-09,499.497
23,0.00381249,0.000568318,-0.011944,1.74253e-09,469.581
24,0.000612335,0.00283509,-0.0132128,1.28771e-09,548.08
25,0.00060531,0.00389831,-0.0132146,1.26939e-09,555.405
26,0.000584532,0.00283657,-0.0121304,1.22967e-09,560.251
27,0.000574738,0.00390374,-0.0121347,1.20506e-09,564.267
28,0.00167661,0.00276851,-0.0131446,1.19154e-09,538.353
29,0.0016574,0.00369929,-0.0131475,1.16744e-09,547.415
30,0.00150188,0.00278863,-0.0119017,9.77142e-10,554.291
31,0.00148154,0.00375853,-0.0119113,9.6517e-10,559.98
32,0.00247044,0.00275394,-0.0118214,1.34324e-09,538.721
33,0.00266455,0.00273183,-0.0130872,1.05275e-09,524.312
34,0.00337464,0.0025511,-0.0119861,5.29654e-10,517.385
35,0.00341929,0.00255953,-0.0131519,4.58599e-10,507.963
36,0.00250692,0.0034298,-0.0130736,5.59471e-10,535.552
37,0.00230926,0.00349634,-0.0118083,7.78279e-10,548.749
38,0.00254628,0.00162191,-0.0107427,1.06928e-09,544.814
39,0.00284929,0.001499,-0.00976875,9.00897e-10,544.502
40,0.00364993,0.00166828,-0.0108845,1.22102e-09,508.392
41,0.00374917,0.00162925,-0.00979827,1.03403e-09,512.354
42,0.0026363,0.000551224,-0.0107324,1.28524e-09,522.196
43,0.00293249,0.000512159,-0.0097711,1.09252e-09,521.351
44,0.00386758,0.000571867,-0.0108753,1.5056e-09,479.052
45,0.00396437,0.000558861,-0.00980384,1.27349e-09,482.371
46,0.00257371,0.00266887,-0.0107844,1.04008e-09,551.592
47,0.00282308,0.00251545,-0.00978948,8.70758e-10,553.612
48,0.00340868,0.00252103,-0.0108991,4.8183e-10,527.611
49,0.00347822,0.00247662,-0.00981019,4.27563e-10,533.405
50,0.00242054,0.0034245,-0.0107927,6.14402e-10,560.29
51,0.00269732,0.00327627,-0.00979749,4.64939e-10,562.852
52,0.000607834,0.0049305,-0.0132155,1.1867e-09,560.38
53,0.000608942,0.00595917,-0.0132222,1.22892e-09,567.978
54,0.000574889,0.00493861,-0.0121365,1.11916e-09,567.329
55,0.000588457,0.00597187,-0.0121452,1.21046e-09,570.863
56,0.00168659,0.00471876,-0.0131612,1.40037e-09,553.98
57,0.00167127,0.00589376,-0.0131933,1.41545e-09,565.46
58,0.00151807,0.00480089,-0.0119279,1.19591e-09,564.103
59,0.00155568,0.00593582,-0.0119628,1.46468e-09,569.568
60,0.00271537,0.00429532,-0.0131288,1.92522e-09,541.137
61,0.00273146,0.00576461,-0.0131733,1.75652e-09,559.999
62,0.00258677,0.00434689,-0.0118941,2.50618e-09,551.658
63,0.00260795,0.00578843,-0.0119041,2.45516e-09,565.071
64,0.0026878,0.00429127,-0.0108388,1.9588e-09,559.565
65,0.00270082,0.005765,-0.0108178,1.8911e-09,568.128
66,0.00287502,0.00421252,-0.00979945,1.48442e-09,562.635
67,0.00288154,0.00573587,-0.0097888,1.44138e-09,569.206
68,0.00448878,0.00187461,-0.0131566,9.56334e-10,474.807
69,0.00533561,0.0019622,-0.0131268,1.45373e-09,463.385
70,0.00460892,0.00186486,-0.0120354,1.25608e-09,481.715
71,0.00574553,0.00195889,-0.012034,2.01466e-09,465.586
72,0.00471098,0.000619627,-0.0131381,6.30745e-10,443.953
73,0.00539352,0.000663743,-0.0131205,1.28972e-09,433.715
74,0.00482605,0.000620154,-0.0120254,9.58008e-10,451.388
75,0.00580321,0.000659689,-0.0120327,1.84886e-09,436.282
76,0.00426856,0.00302018,-0.0120478,1.89423e-09,508.178
77,0.00568669,0.0032549,-0.0120351,2.1692e-09,493.271
78,0.00414034,0.0030324,-0.0131722,1.64005e-09,501.852
79,0.00527737,0.0032576,-0.0131319,1.60926e-09,491.004
80,0.00472917,0.00185889,-0.0109142,1.54787e-09,486.707
81,0.0060429,0.00195825,-0.0109345,2.23391e-09,466.633
82,0.00484744,0.00185354,-0.0097955,1.85176e-09,488.047
83,0.0062512,0.00195874,-0.00982456,2.21183e-09,466.414
84,0.00494312,0.00062022,-0.0109093,1.27558e-09,456.518
85,0.00610202,0.000658925,-0.0109345,2.06371e-09,437.631
86,0.0050607,0.000618832,-0.00979221,1.5934e-09,457.937
87,0.00631158,0.000659512,-0.00982556,2.03319e-09,437.574
88,0.00439733,0.00301104,-0.0109246,2.13636e-09,512.765
89,0.00598242,0.00325435,-0.0109345,2.3917e-09,494.315
90,0.00452619,0.0030029,-0.00980238,2.37671e-09,514.044
91,0.00619019,0.0032564,-0.00982323,2.38416e-09,494.163
92,0.00401169,0.0042529,-0.0120507,2.65614e-09,531.283
93,0.00400526,0.00576675,-0.0120462,2.54212e-09,557.169
94,0.00563109,0.00455281,-0.012036,2.35153e-09,519.927
95,0.00562629,0.00584197,-0.0120343,2.36532e-09,549.156
96,0.00389544,0.00426295,-0.0131741,2.31623e-09,525.43
97,0.00386832,0.00576428,-0.0131644,2.1298e-09,553.675
98,0.0052219,0.00455511,-0.013136,1.7857e-09,517.053
99,0.00518754,0.00585126,-0.0131428,1.88878e-09,546.37
100,0.00412799,0.0042426,-0.010927,2.99616e-09,535.51
101,0.00411378,0.00575828,-0.0109279,2.8742e-09,559.206
102,0.00592544,0.00455233,-0.0109346,2.58008e-09,521.305
103,0.00591581,0.00584309,-0.0109329,2.60435e-09,550.634
104,0.00424434,0.00423214,-0.00980307,3.33624e-09,536.836
105,0.00420193,0.00574458,-0.00980638,3.15577e-09,559.948
106,0.00613074,0.00455507,-0.0098232,2.57202e-09,521.36
107,0.00609041,0.00585176,-0.00981943,2.69651e-09,551.299
108,0.000614815,0.00492767,-0.014375,1.41474e-09,554.77
109,0.000592664,0.0049284,-0.0156009,1.33224e-09,543.572
110,0.000610799,0.00595814,-0.014375,1.47061e-09,564.763
111,0.000588447,0.00595835,-0.0156003,1.38256e-09,556.499
112,0.00174929,0.00468995,-0.014375,1.55921e-09,545.686
113,0.0017051,0.00469617,-0.015528,1.32464e-09,534.555
114,0.00169194,0.00588869,-0.014375,1.62167e-09,561.134
115,0.00164803,0.00589023,-0.0155294,1.38146e-09,551.768
116,0.00274822,0.00430045,-0.0142803,1.50284e-09,531.896
117,0.00277014,0.00428683,-0.015248,1.29643e-09,521.454
118,0.00271229,0.00577959,-0.0142813,1.56516e-09,554.731
119,0.00273571,0.00577526,-0.0152503,1.34673e-09,544.594
120,0.00445646,0.00189371,-0.0141597,5.68926e-10,461.02
121,0.00466619,0.000620771,-0.0141699,3.42968e-10,424.794
122,0.00410118,0.00306927,-0.0141966,1.18371e-09,492.051
123,0.00385851,0.00427579,-0.0142248,1.80918e-09,516.958
