x_m,y_m,z_m,volume_m3,U_x,U_y,U_z,p,T,rho,b,ft,Xi,k,epsilon,nut,alphat,Su,St,Tu,betav
-17.619920999999998,-17.638086000000005,0.1775,4.504165721512518,-0.00063507425,-0.00063505731,2.6571038e-06,100000.08,287.00006,1.2090259,1.0,6.8424167e-114,1.0,0.00014948564,4.126857e-06,0.00048732876,0.00024482761,0.0,0.0,287.00006,1.0
-14.362377,-17.638086000000005,0.17750000000000002,3.7384561065742017,-0.00058434485,-0.00091924985,3.7482726e-06,100000.06,287.00005,1.2090257,1.0,7.5436694e-108,1.0,0.00014948607,4.1268744e-06,0.00048732949,0.00024482761,0.0,0.0,287.00005,1.0
-11.658615499999998,-17.638086,0.17750000000000002,3.1029199601314197,-0.00056678198,-0.0012298836,5.1872236e-06,100000.07,287.00006,1.2090258,1.0,4.9619598e-102,1.0,0.00014948648,4.1268908e-06,0.00048733022,0.00024482761,0.0,0.0,287.00006,1.0
-9.414493049999999,-17.638086,0.17750000000000002,2.5754232000129873,-0.00056244999,-0.0015570393,6.8852411e-06,100000.1,287.00008,1.2090261,1.0,1.7749327e-96,1.0,0.00014948687,4.1269065e-06,0.00048733092,0.00024482761,0.0,0.0,287.00008,1.0
-7.551871549999997,-17.638085999999998,0.17749999999999996,2.137601285109435,-0.00054758063,-0.0018611825,8.5668485e-06,100000.13,287.00011,1.2090264,1.0,3.2619158e-91,1.0,0.00014948722,4.1269203e-06,0.00048733155,0.00024482761,0.0,0.0,287.00011,1.0
-6.0058957500000005,-17.638086,0.1775,1.7742089236778698,-0.00051828486,-0.0021206305,1.0065122e-05,100000.16,287.00013,1.2090266,1.0,3.3969812e-86,1.0,0.00014948751,4.1269319e-06,0.00048733207,0.00024482761,0.0,0.0,287.00013,1.0
-4.722735850000001,-17.638086,0.17750000000000002,1.472593514191142,-0.00047780815,-0.0023295854,1.1307394e-05,100000.18,287.00015,1.2090268,1.0,1.7667981e-81,1.0,0.00014948774,4.1269412e-06,0.00048733249,0.00024482761,0.0,0.0,287.00015,1.0
-3.6577130999999996,-17.638086,0.1775,1.2222525927406287,-0.0004314074,-0.0024915202,1.2289362e-05,100000.2,287.00016,1.209027,1.0,5.2039332e-77,1.0,0.00014948792,4.1269484e-06,0.00048733281,0.00024482761,0.0,0.0,287.00016,1.0
-2.77374425,-17.638086,0.1775,1.0144695937774098,-0.00038372849,-0.0026138085,1.3042395e-05,100000.22,287.00018,1.2090271,1.0,8.5920179e-73,1.0,0.00014948805,4.1269538e-06,0.00048733305,0.00024482761,0.0,0.0,287.00018,1.0
-2.0400501000000006,-17.638086000000005,0.17750000000000002,0.8420098324189922,-0.00033796612,-0.0027045852,1.3607809e-05,100000.23,287.00018,1.2090272,1.0,5.2199928e-69,1.0,0.00014948815,4.1269578e-06,0.00048733323,0.00024482761,0.0,0.0,287.00018,1.0
-1.4310839000000002,-17.638085999999998,0.1775,0.6988682317566645,-0.00029597066,-0.0027712471,1.4026453e-05,100000.24,287.00019,1.2090273,1.0,3.6750686e-65,1.0,0.00014948822,4.1269607e-06,0.00048733336,0.00024482761,0.0,0.0,287.00019,1.0
-0.92564198,-17.638086,0.17749999999999996,0.5800604957208656,-0.00025858086,-0.0028199028,1.4333883e-05,100000.24,287.00019,1.2090273,1.0,1.0709283e-61,1.0,0.00014948828,4.1269628e-06,0.00048733346,0.00024482761,0.0,0.0,287.00019,1.0
-0.50612522,-17.638086,0.17750000000000002,0.48145026306680333,-0.00022596252,-0.0028553279,1.4558524e-05,100000.24,287.0002,1.2090274,1.0,1.846116e-58,1.0,0.00014948832,4.1269644e-06,0.00048733353,0.00024482761,0.0,0.0,287.0002,1.0
-0.15792629,-17.638086,0.1775,0.3996037153090651,-0.00019791601,-0.0028811272,1.4722635e-05,100000.25,287.0002,1.2090274,1.0,1.6812333e-55,1.0,0.00014948835,4.1269655e-06,0.00048733358,0.00024482761,0.0,0.0,287.0002,1.0
0.163846155,-17.638085999999998,0.1775,0.4145828555657515,-0.00017126864,-0.002902098,1.4856424e-05,100000.25,287.0002,1.2090274,1.0,5.3512536e-53,1.0,0.00014948837,4.1269664e-06,0.00048733362,0.00024482761,0.0,0.0,287.0002,1.0
0.4915384650000001,-17.638085999999998,0.1775,0.4145828555657515,-0.00014354298,-0.0029203283,1.4972684e-05,100000.25,287.0002,1.2090274,1.0,1.2517499e-52,1.0,0.00014948839,4.1269672e-06,0.00048733366,0.00024482761,0.0,0.0,287.0002,1.0
0.81923077,-17.638086,0.17749999999999996,0.4145828429141621,-0.00011530876,-0.0029353501,1.506896e-05,100000.25,287.00021,1.2090274,1.0,3.2549695e-52,1.0,0.0001494884,4.1269679e-06,0.00048733369,0.00024482761,0.0,0.0,287.00021,1.0
1.1469230599999998,-17.638085999999998,0.17749999999999996,0.41458281761098315,-8.6663256e-05,-0.0029470949,1.5144283e-05,100000.25,287.00021,1.2090274,1.0,4.9955104e-52,1.0,0.00014948842,4.1269684e-06,0.00048733371,0.00024482761,0.0,0.0,287.00021,1.0
1.4746153499999997,-17.638085999999998,0.1775,0.41458284291416225,-5.7708564e-05,-0.002955509,1.5198317e-05,100000.26,287.00021,1.2090275,1.0,1.2046673e-51,1.0,0.00014948843,4.1269688e-06,0.00048733372,0.00024482761,0.0,0.0,287.00021,1.0
1.8023076500000001,-17.638086000000005,0.17750000000000002,0.41458284291416203,-2.854732e-05,-0.0029605543,1.5231343e-05,100000.26,287.00021,1.2090275,1.0,1.6174326e-51,1.0,0.00014948843,4.126969e-06,0.00048733373,0.00024482761,0.0,0.0,287.00021,1.0
2.13,-17.638085999999998,0.1775,0.41458296943005596,7.1165834e-07,-0.0029622085,1.5241413e-05,100000.26,287.00021,1.2090275,1.0,2.1778178e-51,1.0,0.00014948843,4.126969e-06,0.00048733374,0.00024482761,0.0,0.0,287.00021,1.0
2.45769235,-17.638086,0.1775,0.4145828429141625,2.9962946e-05,-0.0029604656,1.5231803e-05,100000.26,287.00021,1.2090275,1.0,1.3530662e-51,1.0,0.00014948843,4.126969e-06,0.00048733373,0.00024482761,0.0,0.0,287.00021,1.0
2.7853846499999992,-17.638085999999998,0.1775,0.4145828429141618,5.9100256e-05,-0.0029553361,1.5198433e-05,100000.26,287.00021,1.2090275,1.0,1.0566499e-51,1.0,0.00014948842,4.1269687e-06,0.00048733372,0.00024482761,0.0,0.0,287.00021,1.0
3.113076949999999,-17.638085999999994,0.17749999999999996,0.41458284291416186,8.8012657e-05,-0.0029468464,1.514448e-05,100000.25,287.00021,1.2090275,1.0,5.6575797e-52,1.0,0.00014948842,4.1269683e-06,0.0004873337,0.00024482761,0.0,0.0,287.00021,1.0
3.440769249999999,-17.638085999999998,0.17749999999999996,0.4145828429141626,0.00011660434,-0.0029350389,1.5069995e-05,100000.25,287.00021,1.2090274,1.0,2.7930613e-52,1.0,0.0001494884,4.1269678e-06,0.00048733368,0.00024482761,0.0,0.0,287.00021,1.0
3.76846155,-17.638085999999994,0.1775,0.41458284291416164,0.00014477005,-0.0029199717,1.4973031e-05,100000.25,287.0002,1.2090274,1.0,1.1505419e-52,1.0,0.00014948838,4.1269671e-06,0.00048733365,0.00024482761,0.0,0.0,287.0002,1.0
4.096153849999999,-17.638085999999998,0.17749999999999996,0.4145828429141623,0.00017241308,-0.0029017168,1.4857439e-05,100000.25,287.0002,1.2090274,1.0,2.8162088e-55,1.0,0.00014948836,4.1269663e-06,0.00048733361,0.00024482761,0.0,0.0,287.0002,1.0
4.423862649999999,-17.638085999999998,0.1775,0.41462459315918204,0.00019944925,-0.0028803593,1.4721465e-05,100000.25,287.0002,1.2090274,1.0,6.7632004e-58,1.0,0.00014948834,4.1269653e-06,0.00048733357,0.00024482761,0.0,0.0,287.0002,1.0
4.784360449999999,-17.638086,0.17750000000000005,0.49754943588148237,0.00022834727,-0.0028535606,1.4552301e-05,100000.25,287.0002,1.2090274,1.0,5.6743593e-61,1.0,0.00014948831,4.1269641e-06,0.00048733352,0.00024482761,0.0,0.0,287.0002,1.0
5.216957799999999,-17.638086,0.1775,0.5970593736641358,0.00026175488,-0.0028168356,1.4319679e-05,100000.24,287.0002,1.2090273,1.0,2.8621395e-64,1.0,0.00014948827,4.1269625e-06,0.00048733344,0.00024482761,0.0,0.0,287.0002,1.0
5.73607465,-17.638086,0.17749999999999996,0.7164712737001424,0.00029981998,-0.0027665561,1.4005039e-05,100000.24,287.00019,1.2090273,1.0,7.7632562e-68,1.0,0.00014948821,4.1269602e-06,0.00048733334,0.00024482761,0.0,0.0,287.00019,1.0
6.359014849999999,-17.638086,0.1775,0.8597654525306331,0.00034228058,-0.0026979793,1.3575198e-05,100000.23,287.00019,1.2090272,1.0,1.0576297e-71,1.0,0.00014948814,4.1269571e-06,0.00048733321,0.00024482761,0.0,0.0,287.00019,1.0
7.10654305,-17.638086,0.1775,1.0317185177335824,0.00038820937,-0.002605128,1.2997864e-05,100000.22,287.00018,1.2090271,1.0,1.5887215e-75,1.0,0.00014948803,4.126953e-06,0.00048733302,0.00024482761,0.0,0.0,287.00018,1.0
8.003576899999999,-17.638085999999998,0.17749999999999994,1.238062271886657,0.00043572818,-0.0024809112,1.2236019e-05,100000.21,287.00017,1.209027,1.0,8.5579174e-80,1.0,0.00014948789,4.1269474e-06,0.00048733277,0.00024482761,0.0,0.0,287.00017,1.0
9.080017549999999,-17.638085999999998,0.17749999999999996,1.485674751567165,0.00048169083,-0.0023177372,1.125129e-05,100000.19,287.00015,1.2090269,1.0,2.7347196e-84,1.0,0.00014948771,4.1269401e-06,0.00048733244,0.00024482761,0.0,0.0,287.00015,1.0
10.3717465,-17.638086,0.1775,1.7828101067314597,0.00052174645,-0.002109034,1.0017818e-05,100000.16,287.00013,1.2090267,1.0,5.6143409e-89,1.0,0.00014948748,4.1269307e-06,0.00048733202,0.00024482761,0.0,0.0,287.00013,1.0
11.921820999999998,-17.638085999999998,0.17749999999999996,2.1393711159506,0.00055122152,-0.0018522125,8.5449515e-06,100000.14,287.00011,1.2090264,1.0,6.3163868e-94,1.0,0.00014948719,4.1269191e-06,0.0004873315,0.00024482761,0.0,0.0,287.00011,1.0
13.781910499999995,-17.638085999999998,0.1775,2.5672466042996622,0.00056766848,-0.0015533586,6.902622e-06,100000.11,287.00009,1.2090262,1.0,3.4118498e-99,1.0,0.00014948684,4.1269053e-06,0.00048733088,0.00024482761,0.0,0.0,287.00009,1.0
16.014017999999993,-17.638085999999998,0.17749999999999994,3.08069491303244,0.00057518277,-0.0012324007,5.2505246e-06,100000.08,287.00006,1.2090259,1.0,1.0883961e-104,1.0,0.00014948645,4.1268898e-06,0.00048733018,0.00024482761,0.0,0.0,287.00006,1.0
18.6925465,-17.638086,0.1775,3.6968336426071433,0.0005942453,-0.00092306354,3.822393e-06,100000.07,287.00005,1.2090258,1.0,1.9631708e-110,1.0,0.00014948605,4.1268736e-06,0.00048732946,0.00024482761,0.0,0.0,287.00005,1.0
21.906780999999995,-17.638085999999998,0.17749999999999996,4.436201383255721,0.00063492636,-0.00062966103,2.6730273e-06,100000.08,287.00007,1.2090259,1.0,2.1551029e-116,1.0,0.00014948562,4.1268564e-06,0.00048732873,0.00024482761,0.0,0.0,287.00007,1.0
-17.619920999999998,-14.3771835,0.17749999999999996,3.738457245529931,-0.00091955682,-0.00058456191,3.7488017e-06,100000.06,287.00005,1.2090257,1.0,7.4428621e-108,1.0,0.00014948607,4.1268744e-06,0.00048732949,0.00024482761,0.0,0.0,287.00005,1.0
-14.362376999999997,-14.377183500000001,0.1775,3.1029183166965524,-0.00096707168,-0.0009672125,6.941887e-06,100000.1,287.00008,1.2090261,1.0,7.493313e-102,1.0,0.00014948661,4.1268961e-06,0.00048733048,0.00024482761,0.0,0.0,287.00008,1.0
-11.6586155,-14.3771835,0.1775,2.5754233579481576,-0.00112278,-0.001457007,1.1519952e-05,100000.2,287.00016,1.209027,1.0,4.007647e-96,1.0,0.00014948721,4.1269196e-06,0.00048733157,0.00024482761,0.0,0.0,287.00016,1.0
-9.414493049999999,-14.377183500000001,0.1775,2.1376010825732386,-0.0012539544,-0.0019930992,1.6677992e-05,100000.31,287.00025,1.209028,1.0,1.1730786e-90,1.0,0.00014948783,4.1269445e-06,0.00048733268,0.00024482761,0.0,0.0,287.00025,1.0
-7.551871549999999,-14.377183500000001,0.17750000000000002,1.7742089226876696,-0.001304279,-0.0025026341,2.1622728e-05,100000.41,287.00033,1.2090288,1.0,1.7229403e-85,1.0,0.0001494884,4.1269677e-06,0.00048733369,0.00024482761,0.0,0.0,287.00033,1.0
-6.005895750000003,-14.377183500000003,0.17750000000000005,1.4725932871715175,-0.0012829505,-0.0029482812,2.5971541e-05,100000.48,287.00039,1.2090294,1.0,1.5993646e-80,1.0,0.0001494889,4.1269876e-06,0.00048733456,0.00024482761,0.0,0.0,287.00039,1.0
-4.722735850000001,-14.377183500000001,0.1775,1.2222525176093169,-0.0012116584,-0.0033170756,2.9591034e-05,100000.54,287.00044,1.2090299,1.0,7.3598607e-76,1.0,0.0001494893,4.1270039e-06,0.00048733527,0.00024482761,0.0,0.0,287.00044,1.0
-3.6577131000000005,-14.377183500000001,0.17750000000000002,1.0144695696641783,-0.0011119046,-0.0036103926,3.2486789e-05,100000.58,287.00047,1.2090302,1.0,1.9625429e-71,1.0,0.00014948962,4.1270167e-06,0.00048733583,0.00024482761,0.0,0.0,287.00047,1.0
-2.77374425,-14.377183500000003,0.17749999999999996,0.8420096945175027,-0.001000339,-0.0038369228,3.4735786e-05,100000.61,287.00049,1.2090305,1.0,3.0202775e-67,1.0,0.00014948986,4.1270265e-06,0.00048733626,0.00024482761,0.0,0.0,287.00049,1.0
-2.0400501,-14.377183500000005,0.17750000000000002,0.698868104204029,-0.00088825437,-0.0040081724,3.6443978e-05,100000.63,287.00051,1.2090307,1.0,1.7147138e-63,1.0,0.00014949004,4.1270339e-06,0.00048733658,0.00024482761,0.0,0.0,287.00051,1.0
-1.4310838999999997,-14.3771835,0.1775,0.5800605852939263,-0.00078246569,-0.0041357235,3.7721517e-05,100000.64,287.00052,1.2090308,1.0,1.1340972e-59,1.0,0.00014949018,4.1270393e-06,0.00048733681,0.00024482761,0.0,0.0,287.00052,1.0
-0.9256419800000001,-14.377183500000003,0.1775,0.48145017238512056,-0.00068650446,-0.0042298202,3.8666887e-05,100000.65,287.00053,1.2090309,1.0,2.9755685e-56,1.0,0.00014949028,4.1270433e-06,0.00048733699,0.00024482761,0.0,0.0,287.00053,1.0
-0.50612522,-14.377183500000001,0.17750000000000002,0.3996036859229891,-0.00060172892,-0.0042988695,3.936225e-05,100000.66,287.00054,1.209031,1.0,4.926336e-53,1.0,0.00014949035,4.1270463e-06,0.00048733712,0.00024482761,0.0,0.0,287.00054,1.0
-0.15792629,-14.3771835,0.1775,0.3316710567958845,-0.00052817992,-0.0043494411,3.9872395e-05,100000.67,287.00054,1.209031,1.0,4.3249159e-50,1.0,0.0001494904,4.1270484e-06,0.00048733721,0.00024482761,0.0,0.0,287.00054,1.0
0.16384615500000002,-14.377183500000001,0.1775,0.344103742200189,-0.00045781509,-0.0043907112,4.0289119e-05,100000.67,287.00055,1.2090311,1.0,1.2857095e-47,1.0,0.00014949045,4.1270501e-06,0.00048733728,0.00024482761,0.0,0.0,287.00055,1.0
0.4915384650000001,-14.377183500000001,0.1775,0.344103742200189,-0.00038420806,-0.0044267057,4.0652832e-05,100000.68,287.00055,1.2090311,1.0,3.0159029e-47,1.0,0.00014949048,4.1270517e-06,0.00048733735,0.00024482761,0.0,0.0,287.00055,1.0
0.81923077,-14.377183500000001,0.17750000000000002,0.3441037316993707,-0.00030891127,-0.0044564291,4.0953263e-05,100000.68,287.00055,1.2090311,1.0,7.7165551e-47,1.0,0.00014949051,4.1270529e-06,0.00048733741,0.00024482761,0.0,0.0,287.00055,1.0
1.14692306,-14.3771835,0.17750000000000002,0.3441037106977339,-0.00023224503,-0.0044796823,4.1188192e-05,100000.68,287.00056,1.2090312,1.0,1.1981239e-46,1.0,0.00014949054,4.1270539e-06,0.00048733745,0.00024482761,0.0,0.0,287.00056,1.0
1.4746153500000003,-14.377183500000003,0.17750000000000002,0.34410373169937075,-0.00015454658,-0.0044963068,4.1355868e-05,100000.68,287.00056,1.2090312,1.0,2.8360722e-46,1.0,0.00014949056,4.1270546e-06,0.00048733748,0.00024482761,0.0,0.0,287.00056,1.0
1.8023076500000004,-14.377183500000005,0.17750000000000005,0.34410373169937064,-7.6166665e-05,-0.0045061879,4.1454933e-05,100000.69,287.00056,1.2090312,1.0,3.8736337e-46,1.0,0.00014949057,4.127055e-06,0.0004873375,0.00024482761,0.0,0.0,287.00056,1.0
2.13,-14.377183500000001,0.17750000000000002,0.34410383670755423,2.5356798e-06,-0.0045092577,4.148469e-05,100000.69,287.00056,1.2090312,1.0,5.8265971e-46,1.0,0.00014949057,4.1270551e-06,0.0004873375,0.00024482761,0.0,0.0,287.00056,1.0
2.45769235,-14.3771835,0.17749999999999996,0.344103731699371,8.1195709e-05,-0.0045054955,4.144489e-05,100000.69,287.00056,1.2090312,1.0,3.0713044e-46,1.0,0.00014949056,4.1270549e-06,0.00048733749,0.00024482761,0.0,0.0,287.00056,1.0
2.78538465,-14.377183500000003,0.1775,0.34410373169937036,0.00015944936,-0.0044949296,4.1335824e-05,100000.68,287.00056,1.2090312,1.0,2.4252218e-46,1.0,0.00014949055,4.1270545e-06,0.00048733747,0.00024482761,0.0,0.0,287.00056,1.0
3.1130769500000004,-14.377183500000003,0.1775,0.34410373169937086,0.00023693917,-0.0044776357,4.1158362e-05,100000.68,287.00056,1.2090312,1.0,1.3566559e-46,1.0,0.00014949053,4.1270537e-06,0.00048733744,0.00024482761,0.0,0.0,287.00056,1.0
3.4407692499999993,-14.3771835,0.17749999999999996,0.34410373169937114,0.00031331677,-0.0044537354,4.0913876e-05,100000.68,287.00055,1.2090311,1.0,6.7127261e-47,1.0,0.00014949051,4.1270527e-06,0.0004873374,0.00024482761,0.0,0.0,287.00055,1.0
3.76846155,-14.377183500000001,0.17749999999999996,0.34410373169937025,0.00038824822,-0.0044233947,4.060422e-05,100000.68,287.00055,1.2090311,1.0,2.8001332e-47,1.0,0.00014949048,4.1270514e-06,0.00048733734,0.00024482761,0.0,0.0,287.00055,1.0
4.096153849999999,-14.3771835,0.1775,0.34410373169937036,0.00046141783,-0.0043868185,4.0231664e-05,100000.67,287.00055,1.2090311,1.0,7.8080297e-50,1.0,0.00014949044,4.1270499e-06,0.00048733727,0.00024482761,0.0,0.0,287.00055,1.0
4.423862649999999,-14.377183500000003,0.1775,0.344138384399926,0.0005325381,-0.0043442472,3.9798892e-05,100000.67,287.00054,1.209031,1.0,1.8207838e-52,1.0,0.00014949039,4.127048e-06,0.00048733719,0.00024482761,0.0,0.0,287.00054,1.0
4.78436045,-14.377183500000006,0.17750000000000007,0.4129659982750009,0.00060795677,-0.004291122,3.9259897e-05,100000.66,287.00054,1.209031,1.0,1.7072611e-55,1.0,0.00014949034,4.1270458e-06,0.00048733709,0.00024482761,0.0,0.0,287.00054,1.0
5.2169578,-14.377183500000001,0.1775,0.495559239933274,0.00069426418,-0.0042188287,3.8528289e-05,100000.65,287.00053,1.2090309,1.0,8.680472e-59,1.0,0.00014949026,4.1270427e-06,0.00048733696,0.00024482761,0.0,0.0,287.00053,1.0
5.73607465,-14.3771835,0.17749999999999996,0.594671108921566,0.00079115992,-0.0041207506,3.7538913e-05,100000.64,287.00052,1.2090308,1.0,2.6229594e-62,1.0,0.00014949016,4.1270385e-06,0.00048733678,0.00024482761,0.0,0.0,287.00052,1.0
6.359014849999999,-14.377183500000001,0.17750000000000002,0.7136052677009688,0.00089695772,-0.0039885498,3.6210476e-05,100000.63,287.00051,1.2090307,1.0,4.8880737e-66,1.0,0.00014949002,4.1270328e-06,0.00048733653,0.00024482761,0.0,0.0,287.00051,1.0
