x_m,y_m,z_m,volume_m3,U_x_m_per_s,U_y_m_per_s,U_z_m_per_s,T_K,p_Pa
-1.975,0.0,-1.966665,0.00033335,1.0000975547,0.0,-0.000180322941636,299.999999903,100000.026976
-1.925,0.0,-1.966665,0.00033335,1.00046611528,0.0,-0.000360927508329,299.999999537,100000.02675
-1.875,0.0,-1.966665,0.00033335,1.00114724555,0.0,-0.000541952815488,299.99999886,100000.026122
-1.825,0.0,-1.966665,0.00033335,1.00209968601,0.0,-0.000723557764555,299.999997912,100000.025171
-1.775,-8.46990597724e-19,-1.966665,0.00033335,1.00332045438,0.0,-0.000905852233196,299.999996696,100000.023912
-1.725,0.0,-1.966665,0.00033335,1.00481491828,0.0,-0.00108889605998,299.999995206,100000.022334
-1.675,0.0,-1.966665,0.00033335,1.00658445627,0.0,-0.00127268851545,299.999993438,100000.020435
-1.625,0.0,-1.966665,0.00033335,1.00862957325,0.0,-0.0014571541887,299.999991391,100000.018211
-1.575,0.0,-1.966665,0.00033335,1.01095101686,0.0,-0.00164213011738,299.999989063,100000.01566
-1.525,-8.46990597724e-19,-1.966665,0.00033335,1.01354929342,0.0,-0.0018273536368,299.999986451,100000.012779
-1.475,0.0,-1.966665,0.00033335,1.01642438666,0.0,-0.0020124502078,299.999983553,100000.009566
-1.425,0.0,-1.966665,0.00033335,1.01957562009,0.0,-0.00219692173529,299.999980366,100000.006017
-1.375,0.0,-1.966665,0.00033335,1.02300147777,0.0,-0.00238013579797,299.999976891,100000.002132
-1.325,0.0,-1.966665,0.00033335,1.02669939379,0.0,-0.00256131614375,299.999973127,99999.99791
-1.275,-8.46990597724e-19,-1.966665,0.00033335,1.03066553144,0.0,-0.00273953512175,299.999969075,99999.9933507
-1.225,0.0,-1.966665,0.00033335,1.03489455468,0.0,-0.00291370835448,299.999964737,99999.9884564
-1.175,-8.46990597724e-19,-1.966665,0.00033335,1.03937939347,0.0,-0.00308259269279,299.999960118,99999.9832305
-1.125,0.0,-1.966665,0.00033335,1.04411100848,0.0,-0.00324478780819,299.999955222,99999.9776788
-1.075,0.0,-1.966665,0.00033335,1.04907816161,0.0,-0.00339874244368,299.999950059,99999.9718096
-1.025,-8.46990597724e-19,-1.966665,0.00033335,1.0542671994,0.0,-0.00354276601392,299.999944639,99999.9656339
-0.975,0.0,-1.966665,0.00033335,1.05966185791,0.0,-0.00367504625078,299.999938976,99999.9591659
-0.925,4.81867632216e-20,-1.966665,0.00033335,1.06524309841,0.0,-0.00379367350395,299.999933087,99999.9524233
-0.875,0.0,-1.966665,0.00033335,1.07098898432,0.0,-0.00389667222176,299.999926992,99999.9454279
-0.825,4.81867632216e-20,-1.966665,0.00033335,1.07687460988,0.0,-0.00398203974692,299.999920715,99999.9382052
-0.775,-8.46990597724e-19,-1.966665,0.00033335,1.08287209165,0.0,-0.00404779225952,299.999914283,99999.9307852
-0.725,0.0,-1.966665,0.00033335,1.08895063313,0.0,-0.00409201741696,299.999907728,99999.9232022
-0.675,4.81867632216e-20,-1.966665,0.00033335,1.09507667186,0.0,-0.00411293250439,299.999901085,99999.9154951
-0.625,0.0,-1.966665,0.00033335,1.10121411619,0.0,-0.00410894668703,299.999894392,99999.9077067
-0.575,4.81867632216e-20,-1.966665,0.00033335,1.10732467668,0.0,-0.00407872503206,299.999887691,99999.8998841
-0.525,0.0,-1.966665,0.00033335,1.11336829286,0.0,-0.00402125180655,299.999881027,99999.892078
-0.475,1.74216795867e-18,-1.966665,0.00033335,1.11930365258,0.0,-0.00393588977658,299.999874448,99999.8843421
-0.425,1.74216795867e-18,-1.966665,0.00033335,1.12508879544,0.0,-0.00382243227075,299.999868001,99999.8767325
-0.375,0.0,-1.966665,0.00033335,1.13068178726,0.0,-0.00368114438719,299.999861738,99999.8693068
-0.325,1.74216795867e-18,-1.966665,0.00033335,1.13604144695,0.0,-0.00351279022041,299.999855706,99999.862123
-0.275,1.74216795867e-18,-1.966665,0.00033335,1.1411281027,0.0,-0.00331864316287,299.999849956,99999.8552387
-0.225,1.74216795867e-18,-1.966665,0.00033335,1.14590435021,0.0,-0.00310047748559,299.999844533,99999.8487097
-0.175,0.0,-1.966665,0.00033335,1.15033578397,0.0,-0.00286054019104,299.999839481,99999.8425887
-0.125,0.0,-1.966665,0.00033335,1.15439167155,0.0,-0.00260150356157,299.999834841,99999.8369247
-0.075,0.0,-1.966665,0.00033335,1.15804554235,0.0,-0.00232640012064,299.999830647,99999.8317613
-0.025,0.0,-1.966665,0.00033335,1.16127566578,0.0,-0.00203854282386,299.999826928,99999.827136
0.025,0.0,-1.966665,0.00033335,1.1640653995,0.0,-0.00174143456409,299.999823708,99999.8230798
0.075,0.0,-1.966665,0.00033335,1.16640339399,0.0,-0.00143867146012,299.999821003,99999.819616
0.125,0.0,-1.966665,0.00033335,1.16828364953,0.0,-0.00113384505849,299.999818825,99999.8167601
0.175,0.0,-1.966665,0.00033335,1.16970542366,0.0,-0.000830446963161,299.999817175,99999.8145199
0.225,0.0,-1.966665,0.00033335,1.17067301289,0.0,-0.000531784796298,299.999816052,99999.8128955
0.275,1.74216795867e-18,-1.966665,0.00033335,1.1711953799,0.0,-0.000240893279386,299.999815446,99999.8118797
0.325,1.74216795867e-18,-1.966665,0.00033335,1.17128572945,0.0,3.95054356427e-05,299.999815341,99999.8114583
0.375,0.0,-1.966665,0.00033335,1.17096110901,0.0,0.000307138724089,299.99981572,99999.8116115
0.425,1.74216795867e-18,-1.966665,0.00033335,1.17024165414,0.0,0.000560046848397,299.999816557,99999.812314
0.475,1.74216795867e-18,-1.966665,0.00033335,1.16915034693,0.0,0.000796681556899,299.999817826,99999.8135354
0.525,0.0,-1.966665,0.00033335,1.16771217981,0.0,0.00101588555347,299.999819496,99999.8152417
0.575,4.81867632216e-20,-1.966665,0.00033335,1.165953587,0.0,0.00121686520135,299.999821535,99999.8173963
0.625,0.0,-1.966665,0.00033335,1.16390193733,0.0,0.00139916967462,299.99982391,99999.8199606
0.675,4.81867632216e-20,-1.966665,0.00033335,1.1615850443,0.0,0.00156266103618,299.999826587,99999.8228953
0.725,-8.46990597724e-19,-1.966665,0.00033335,1.15903072866,0.0,0.001707477677,299.999829532,99999.8261605
0.775,0.0,-1.966665,0.00033335,1.15626644366,0.0,0.00183399537083,299.999832712,99999.8297169
0.825,4.81867632216e-20,-1.966665,0.00033335,1.15331896044,0.0,0.00194278783646,299.999836094,99999.8335258
0.875,0.0,-1.966665,0.00033335,1.15021411076,0.0,0.00203458844485,299.999839648,99999.8375501
0.925,4.81867632216e-20,-1.966665,0.00033335,1.14697658443,0.0,0.00211025402877,299.999843344,99999.8417541
0.975,-8.46990597724e-19,-1.966665,0.00033335,1.14362977607,0.0,0.00217073197901,299.999847153,99999.8461042
1.025,0.0,-1.966665,0.00033335,1.14019567633,0.0,0.0022170309437,299.999851051,99999.8505688
1.075,-8.46990597724e-19,-1.966665,0.00033335,1.1366948012,0.0,0.00225019538629,299.999855012,99999.8551186
1.125,0.0,-1.966665,0.00033335,1.13314615435,0.0,0.00227128404523,299.999859015,99999.8597265
1.175,0.0,-1.966665,0.00033335,1.12956721687,0.0,0.00228135198404,299.99986304,99999.8643679
1.225,-8.46990597724e-19,-1.966665,0.00033335,1.12597395919,0.0,0.00228143610582,299.999867069,99999.8690203
1.275,0.0,-1.966665,0.00033335,1.1223808713,0.0,0.00227254369779,299.999871085,99999.8736635
1.325,0.0,-1.966665,0.00033335,1.11880100694,0.0,0.00225564368683,299.999875074,99999.8782794
1.375,0.0,-1.966665,0.00033335,1.11524603868,0.0,0.00223166018161,299.999879022,99999.882852
1.425,0.0,-1.966665,0.00033335,1.11172632102,0.0,0.00220146796636,299.99988292,99999.8873672
1.475,-8.46990597724e-19,-1.966665,0.00033335,1.1082509591,0.0,0.00216588959983,299.999886757,99999.8918129
1.525,0.0,-1.966665,0.00033335,1.10482788108,0.0,0.00212569380904,299.999890525,99999.8961784
1.575,0.0,-1.966665,0.00033335,1.10146391262,0.0,0.00208159500971,299.999894217,99999.9004549
1.625,0.0,-1.966665,0.00033335,1.09816485219,0.0,0.0020342535623,299.999897827,99999.9046349
1.675,0.0,-1.966665,0.00033335,1.09493554594,0.0,0.00198427680051,299.999901351,99999.9087123
1.725,-8.46990597724e-19,-1.966665,0.00033335,1.09177996155,0.0,0.00193222053009,299.999904786,99999.9126822
1.775,0.0,-1.966665,0.00033335,1.0887012603,0.0,0.00187859085588,299.999908127,99999.9165407
1.825,0.0,-1.966665,0.00033335,1.08570186669,0.0,0.00182384641436,299.999911374,99999.9202852
1.875,0.0,-1.966665,0.00033335,1.08278353553,0.0,0.00176840067023,299.999914526,99999.9239137
1.925,0.0,-1.966665,0.00033335,1.07994741589,0.0,0.00171262442655,299.999917581,99999.9274252
1.975,-8.46990597724e-19,-1.966665,0.00033335,1.07719411176,0.0,0.0016568483694,299.99992054,99999.9308194
2.025,0.0,-1.966665,0.00033335,1.07452373939,0.0,0.00160136569613,299.999923404,99999.9340965
2.075,0.0,-1.966665,0.00033335,1.0719359811,0.0,0.00154643466698,299.999926173,99999.9372573
2.125,0.0,-1.966665,0.00033335,1.06943013552,0.0,0.00149228122854,299.999928849,99999.9403033
2.175,-4.81867632216e-20,-1.966665,0.00033335,1.06700516448,0.0,0.00143910150792,299.999931433,99999.9432361
2.225,0.0,-1.966665,0.00033335,1.0646597361,0.0,0.00138706423904,299.999933928,99999.9460579
2.275,0.0,-1.966665,0.00033335,1.06239226474,0.0,0.00133631316754,299.999936336,99999.9487711
2.325,0.0,-1.966665,0.00033335,1.06020094753,0.0,0.00128696923877,299.999938659,99999.9513783
2.375,0.0,-1.966665,0.00033335,1.05808379757,0.0,0.00123913282689,299.999940899,99999.9538825
2.425,-4.81867632216e-20,-1.966665,0.00033335,1.05603867418,0.0,0.00119288578018,299.999943061,99999.9562866
2.475,0.0,-1.966665,0.00033335,1.05406331021,0.0,0.00114829328813,299.999945145,99999.958594
2.525,0.0,-1.966665,0.00033335,1.0521553364,0.0,0.00110540577396,299.999947156,99999.9608078
2.575,0.0,-1.966665,0.00033335,1.05031230335,0.0,0.00106426055688,299.999949096,99999.9629314
2.625,0.0,-1.966665,0.00033335,1.04853170082,0.0,0.0010248834334,299.999950968,99999.9649684
2.675,0.0,-1.966665,0.00033335,1.04681097486,0.0,0.000987290142901,299.999952775,99999.966922
2.725,0.0,-1.966665,0.00033335,1.04514754264,0.0,0.000951487722795,299.999954521,99999.9687959
2.775,0.0,-1.966665,0.00033335,1.04353880551,0.0,0.000917475768257,299.999956207,99999.9705935
2.825,0.0,-1.966665,0.00033335,1.04198216012,0.0,0.000885247519577,299.999957838,99999.9723182
2.875,0.0,-1.966665,0.00033335,1.0404750078,0.0,0.000854790956108,299.999959415,99999.9739736
2.925,0.0,-1.966665,0.00033335,1.03901476258,0.0,0.000826089716723,299.999960942,99999.9755629
