cell_id,x_m,y_m,z_m,volume_m3,overset_cell_type,zone_id,U_x_m_per_s,U_y_m_per_s,U_z_m_per_s,T_K,p_Pa,rho_kg_per_m3,k_m2_per_s2,epsilon_m2_per_s3,nut_m2_per_s,alphat_kg_per_m_s
0,-1.975,0.0,-1.966665,0.00033335,0,0,1.0000975547,0.0,-0.000180322941636,299.999999903,100000.026976,1.15862296194,5.29118417936e-05,0.0739889741199,3.40550295739e-09,3.94569392339e-09
1,-1.925,0.0,-1.966665,0.00033335,0,0,1.00046611528,0.0,-0.000360927508329,299.999999537,100000.02675,1.15862296074,1.39753956002e-06,0.00103088473815,1.70514226721e-10,1.97561698212e-10
2,-1.875,0.0,-1.966665,0.00033335,0,0,1.00114724555,0.0,-0.000541952815488,299.99999886,100000.026122,1.15862295608,6.76967684668e-08,2.66265216499e-05,1.54904469649e-11,1.79475874534e-11
3,-1.825,0.0,-1.966665,0.00033335,0,0,1.00209968601,0.0,-0.000723557764555,299.999997912,100000.025171,1.15862294872,5.805253009e-09,1.24020248796e-06,2.44563823594e-12,2.83357258442e-12
4,-1.775,-8.46990597724e-19,-1.966665,0.00033335,0,0,1.00332045438,0.0,-0.000905852233196,299.999996696,100000.023912,1.15862293882,8.34422399985e-10,9.97132172377e-08,6.28436916185e-13,7.28121426695e-13
5,-1.725,0.0,-1.966665,0.00033335,0,0,1.00481491828,0.0,-0.00108889605998,299.999995206,100000.022334,1.15862292631,1.86645545754e-10,1.30114698277e-08,2.40963582056e-13,2.79185930574e-13
6,-1.675,0.0,-1.966665,0.00033335,0,0,1.00658445627,0.0,-0.00127268851545,299.999993438,100000.020435,1.15862291112,5.96142354196e-11,2.55566800858e-09,1.25152067775e-13,1.45004053098e-13
7,-1.625,0.0,-1.966665,0.00033335,0,0,1.00862957325,0.0,-0.0014571541887,299.999991391,100000.018211,1.15862289326,2.49834882174e-11,6.98015263938e-10,8.04792164557e-14,9.32450626172e-14
8,-1.575,0.0,-1.966665,0.00033335,0,0,1.01095101686,0.0,-0.00164213011738,299.999989063,100000.01566,1.15862287269,1.27830758509e-11,2.46436298338e-10,5.96772173506e-14,6.91433890012e-14
9,-1.525,-8.46990597724e-19,-1.966665,0.00033335,0,0,1.01354929342,0.0,-0.0018273536368,299.999986451,100000.012779,1.1586228494,7.55566845825e-12,1.05842957031e-10,4.85429684761e-14,5.62429924543e-14
10,-1.475,0.0,-1.966665,0.00033335,0,0,1.01642438666,0.0,-0.0020124502078,299.999983553,100000.009566,1.15862282337,4.95724211747e-12,5.27533413349e-11,4.19249736802e-14,4.85752313748e-14
11,-1.425,0.0,-1.966665,0.00033335,0,0,1.01957562009,0.0,-0.00219692173529,299.999980366,100000.006017,1.15862279456,3.51074296668e-12,2.94537031927e-11,3.76617652718e-14,4.36357797271e-14
12,-1.375,0.0,-1.966665,0.00033335,0,0,1.02300147777,0.0,-0.00238013579797,299.999976891,100000.002132,1.15862276297,2.63207428001e-12,1.79492607098e-11,3.47369934326e-14,4.02470713079e-14
13,-1.325,0.0,-1.966665,0.00033335,0,0,1.02669939379,0.0,-0.00256131614375,299.999973127,99999.99791,1.15862272858,2.06067358148e-12,1.17132742667e-11,3.26274102481e-14,3.78028590882e-14
14,-1.275,-8.46990597724e-19,-1.966665,0.00033335,0,0,1.03066553144,0.0,-0.00273953512175,299.999969075,99999.9933507,1.15862269141,1.66844894232e-12,8.0705553582e-12,3.10430890393e-14,3.59672273722e-14
15,-1.225,0.0,-1.966665,0.00033335,0,0,1.03489455468,0.0,-0.00291370835448,299.999964737,99999.9884564,1.15862265145,1.38724298204e-12,5.8094742191e-12,2.98133482788e-14,3.45424206314e-14
16,-1.175,-8.46990597724e-19,-1.966665,0.00033335,0,0,1.03937939347,0.0,-0.00308259269279,299.999960118,99999.9832305,1.15862260874,1.17834317314e-12,4.33415133243e-12,2.88324812512e-14,3.34059646438e-14
17,-1.125,0.0,-1.966665,0.00033335,0,0,1.04411100848,0.0,-0.00324478780819,299.999955222,99999.9776788,1.15862256332,1.01853137694e-12,3.33069554013e-12,2.80321493809e-14,3.24786807713e-14
18,-1.075,0.0,-1.966665,0.00033335,0,0,1.04907816161,0.0,-0.00339874244368,299.999950059,99999.9718096,1.15862251526,8.9322869875e-13,2.62390614132e-12,2.73665184183e-14,3.17074644038e-14
19,-1.025,-8.46990597724e-19,-1.966665,0.00033335,0,0,1.0542671994,0.0,-0.00354276601392,299.999944639,99999.9656339,1.15862246464,7.92916391363e-13,2.11105733902e-12,2.68038557202e-14,3.10555493764e-14
20,-0.975,0.0,-1.966665,0.00033335,0,0,1.05966185791,0.0,-0.00367504625078,299.999938976,99999.9591659,1.15862241157,7.11167510732e-13,1.72931637454e-12,2.63215749408e-14,3.04967666342e-14
21,-0.925,4.81867632216e-20,-1.966665,0.00033335,0,0,1.06524309841,0.0,-0.00379367350395,299.999933087,99999.9524233,1.15862235619,6.43514667244e-13,1.43881822229e-12,2.59032036493e-14,3.0012030845e-14
