cell_id,x_m,y_m,z_m,volume_m3,UMean_x,UMean_y,UMean_z,translationalT,internalT,overallT,p,rhoNMean,rhoMMean,dsmcRhoNMean,momentumMean_x,momentumMean_y,momentumMean_z,linearKEMean,internalEMean,iDofMean
0,-0.0475,-0.0375,-0.0375,1.25e-07,1950.676326,5.246656943,-3.516847207,298.6408444,299.7790611,299.0961311,0.4113948885,9.9776e+19,4.78591248e-06,12.472,0.009335766174,2.511004094e-05,-1.683132294e-05,9.722716832,0.4129628471,1.99552e+20
1,-0.0425,-0.0375,-0.0375,1.25e-07,1948.061916,4.581595024,1.474785172,298.8723034,301.4419661,299.9001685,0.4109214714,9.9584e+19,4.78323376e-06,12.448,0.009318035525,2.191483999e-05,7.054242223e-06,9.692492683,0.4144545174,1.99168e+20
2,-0.0375,-0.0375,-0.0375,1.25e-07,1946.895866,2.530282473,1.328128737,299.5819328,300.0950481,299.7871789,0.4133199908,9.9928e+19,4.79949456e-06,12.491,0.009344116118,1.214407697e-05,6.37434665e-06,9.716010104,0.4140279132,1.99856e+20
3,-0.0325,-0.0375,-0.0375,1.25e-07,1945.31805,1.467175232,2.564030484,301.4885338,300.3514764,301.0337109,0.4182148449,1.00472e+20,4.82436688e-06,12.559,0.009384927971,7.078191598e-06,1.236982375e-05,9.755678208,0.4166375567,2.00944e+20
4,-0.0275,-0.0375,-0.0375,1.25e-07,1942.181482,0.2884401751,0.6038600054,302.6535612,296.9988812,300.3916892,0.4160534899,9.9568e+19,4.78047728e-06,12.446,0.009284554447,1.378881704e-06,2.886739036e-06,9.640226162,0.4082800828,1.99136e+20
5,-0.0225,-0.0375,-0.0375,1.25e-07,1942.563584,-4.78271555,-0.9311727245,298.0481304,300.0392137,298.8445637,0.4118293513,1.0008e+20,4.80502672e-06,12.51,0.009334069926,-2.298107601e-05,-4.474309822e-06,9.68381323,0.4145805397,2.0016e+20
6,-0.0175,-0.0375,-0.0375,1.25e-07,1943.732688,-3.534403534,-1.695663884,296.4674132,302.2033974,298.7618069,0.4005747072,9.7864e+19,4.69562752e-06,12.233,0.009127044702,-1.65962425e-05,-7.962205996e-06,9.471165707,0.4083249357,1.95728e+20
7,-0.0125,-0.0375,-0.0375,1.25e-07,1941.662854,-0.2314199935,-2.347035275,295.960846,306.4451186,300.154555,0.4095663365,1.00232e+20,4.80955264e-06,12.529,0.009338529704,-1.113026641e-06,-1.12881897e-05,9.680500999,0.4240750299,2.00464e+20
8,-0.0075,-0.0375,-0.0375,1.25e-07,1941.661552,1.707272913,-4.405671457,298.9490689,302.3939155,300.3270075,0.412810071,1.00016e+20,4.80046192e-06,12.502,0.00932087234,8.195698607e-06,-2.114925806e-05,9.668258416,0.4175669595,2.00032e+20
9,-0.0025,-0.0375,-0.0375,1.25e-07,1947.32968,2.807370507,-3.528847931,297.1058933,305.241484,300.3601295,0.4134152137,1.00784e+20,4.8389808e-06,12.598,0.009423090931,1.358481198e-05,-1.707602738e-05,9.79510434,0.424735679,2.01568e+20
