x_m,y_m,z_m,cell_volume_m3,U_x_m_per_s,U_y_m_per_s,U_z_m_per_s,T_K,p_m2_per_s2,p_rgh_m2_per_s2,k_m2_per_s2,epsilon_m2_per_s3,nut_m2_per_s,alphat_m2_per_s
0.25,0.25,0.25,0.125,0.0101826,-0.0273607,0.0101775,300.664,0,2.44761,4.97512e-05,5.62457e-07,0.000396059,0.000465935
0.75,0.25,0.25,0.125,0.019064,-0.0161753,0.00882306,300.665,-0.000380706,2.44723,4.52894e-05,4.88491e-07,0.000377902,0.000444561
1.25,0.25,0.25,0.125,0.0207195,-0.00544593,0.0071922,300.658,-0.000658596,2.447,3.95021e-05,3.97891e-07,0.000352954,0.000415206
1.75,0.25,0.25,0.125,0.0101131,0.00528436,0.00509529,300.642,-0.000537359,2.44724,3.01994e-05,2.65948e-07,0.000308633,0.000363244
2.25,0.25,0.25,0.125,-0.0100252,-0.00102248,0.000483624,300.589,-0.0004164,2.44775,6.60145e-06,2.71858e-08,0.000144271,0.0001696
2.75,0.25,0.25,0.125,-0.00450032,-0.0021566,-0.000161519,300.593,-0.000425524,2.44771,4.6003e-06,1.57788e-08,0.000120709,0.000141101
3.25,0.25,0.25,0.125,-0.00484486,-0.00084662,-0.000445577,300.596,-0.000410992,2.4477,3.9221e-06,1.24471e-08,0.000111227,0.000132117
3.75,0.25,0.25,0.125,-0.00314883,-0.000516979,-0.000465175,300.597,-0.000408752,2.4477,3.55516e-06,1.09619e-08,0.000103771,0.000129385
4.25,0.25,0.25,0.125,-0.00154523,-0.0002263,-0.000255834,300.599,-0.000406269,2.44769,3.498e-06,1.10443e-08,9.97114e-05,0.000129387
4.75,0.25,0.25,0.125,-0.00117781,-0.0037601,-0.00254747,300.596,-0.000427573,2.44769,4.2023e-06,1.08982e-08,0.000145835,9.4126e-05
5.25,0.25,0.25,0.125,0.000811193,-0.000210942,-0.000616453,300.606,-0.000393161,2.44765,3.51773e-06,1.34354e-08,8.28928e-05,0.000171345
5.75,0.25,0.25,0.125,0.0027582,-0.00092933,-0.000748877,300.598,-0.000404615,2.4477,3.42491e-06,1.0516e-08,0.000100389,0.000129638
6.25,0.25,0.25,0.125,0.00319108,-0.000659963,-0.000534047,300.596,-0.000411497,2.4477,3.55243e-06,1.06892e-08,0.000106254,0.000125104
6.75,0.25,0.25,0.125,0.00498308,-0.00083889,-0.000466285,300.596,-0.000414219,2.4477,3.93554e-06,1.23834e-08,0.000112567,0.0001294
7.25,0.25,0.25,0.125,0.00459606,-0.00210032,-0.000109713,300.593,-0.00042888,2.44771,4.56094e-06,1.55943e-08,0.000120056,0.000140302
7.75,0.25,0.25,0.125,0.0102528,-0.000914754,0.000547,300.589,-0.000417064,2.44775,6.6324e-06,2.73775e-08,0.000144607,0.000169959
8.25,0.25,0.25,0.125,-0.0107797,0.00502514,0.00535506,300.643,-0.000543738,2.44722,3.09509e-05,2.75865e-07,0.000312531,0.000367509
8.75,0.25,0.25,0.125,-0.0211514,-0.00581215,0.00728287,300.658,-0.000665213,2.44699,3.9959e-05,4.04839e-07,0.000354969,0.000417584
9.25,0.25,0.25,0.125,-0.0194062,-0.0164803,0.00885643,300.665,-0.000371268,2.44724,4.56688e-05,4.94659e-07,0.000379469,0.00044641
9.75,0.25,0.25,0.125,-0.0103052,-0.02762,0.0101825,300.664,1.93927e-05,2.44763,5.00978e-05,5.68349e-07,0.000397434,0.000467545
0.25,0.75,0.25,0.125,0.0043849,-0.0398781,0.00438462,300.671,-4.8959,2.44679,5.45219e-05,6.45275e-07,0.00041461,0.000487752
0.75,0.75,0.25,0.125,0.00980664,-0.0230943,0.00400264,300.676,-4.8961,2.44649,4.90096e-05,5.49922e-07,0.0003931,0.000462444
1.25,0.75,0.25,0.125,0.0133606,-0.00264522,0.00294226,300.676,-4.89626,2.44631,4.00402e-05,4.06065e-07,0.000355335,0.000417998
1.75,0.75,0.25,0.125,0.0135552,0.0108695,0.00295165,300.661,-4.89629,2.44662,3.18825e-05,2.88491e-07,0.000317113,0.000373054
2.25,0.75,0.25,0.125,0.00865762,0.00767378,0.00280451,300.644,-4.89635,2.44694,2.22218e-05,1.67905e-07,0.000264689,0.000311431
2.75,0.75,0.25,0.125,-0.000410175,0.00170606,0.00140288,300.642,-4.89632,2.44702,1.21125e-05,6.76005e-08,0.000195325,0.000231119
3.25,0.75,0.25,0.125,-0.00593394,-0.00161476,-0.000599042,300.643,-4.8963,2.44702,6.51773e-06,2.68336e-08,0.000142481,0.00017109
3.75,0.75,0.25,0.125,-0.00460565,-0.00138243,-0.000945609,300.645,-4.89628,2.44699,6.37737e-06,2.60771e-08,0.000140367,0.000169477
4.25,0.75,0.25,0.125,-0.00350071,-0.000521514,-0.00130935,300.645,-4.89627,2.44699,6.15662e-06,2.50692e-08,0.000136078,0.00016738
4.75,0.75,0.25,0.125,-0.00154469,-0.00190186,-0.00177206,300.644,-4.89626,2.44703,6.4179e-06,2.51503e-08,0.000147396,0.00015525
5.25,0.75,0.25,0.125,0.00155907,-0.000143905,-0.00161375,300.644,-4.89624,2.44703,6.04791e-06,2.6341e-08,0.000124974,0.000192291
5.75,0.75,0.25,0.125,0.00377816,-0.00102501,-0.00145322,300.645,-4.89627,2.447,6.12247e-06,2.5198e-08,0.000133884,0.000174492
6.25,0.75,0.25,0.125,0.00458199,-0.00154713,-0.00100548,300.645,-4.89629,2.44698,6.42721e-06,2.60942e-08,0.000142477,0.00016931
6.75,0.75,0.25,0.125,0.00596413,-0.00162344,-0.000623171,300.643,-4.8963,2.44702,6.59763e-06,2.69511e-08,0.000145359,0.000169527
7.25,0.75,0.25,0.125,0.000436312,0.00170283,0.00142092,300.642,-4.89632,2.44701,1.21384e-05,6.75484e-08,0.000196314,0.000229656
7.75,0.75,0.25,0.125,-0.00848824,0.00768754,0.00280339,300.644,-4.89635,2.44694,2.23713e-05,1.69594e-07,0.000265592,0.000312408
8.25,0.75,0.25,0.125,-0.0136462,0.0107722,0.00299128,300.662,-4.8963,2.4466,3.23006e-05,2.94201e-07,0.000319168,0.000375433
8.75,0.75,0.25,0.125,-0.0133021,-0.0031966,0.00296239,300.677,-4.89627,2.4463,4.0356e-05,4.10903e-07,0.000356713,0.000419644
9.25,0.75,0.25,0.125,-0.00991092,-0.0234092,0.00400425,300.676,-4.8961,2.44649,4.93164e-05,5.55108e-07,0.000394319,0.000463884
9.75,0.75,0.25,0.125,-0.00439638,-0.0401967,0.00439774,300.671,-4.8959,2.4468,5.48644e-05,6.5138e-07,0.0004159,0.000489272
0.25,1.25,0.25,0.125,0.00218901,-0.0515577,0.00219139,300.671,-9.79129,2.44653,5.75902e-05,7.00521e-07,0.000426106,0.000501282
0.75,1.25,0.25,0.125,0.00510525,-0.033849,0.00272687,300.678,-9.79141,2.44617,5.29119e-05,6.16915e-07,0.000408436,0.000480495
1.25,1.25,0.25,0.125,0.00750292,-0.0135864,0.00248166,300.682,-9.79154,2.44589,4.3815e-05,4.64851e-07,0.000371685,0.000437242
1.75,1.25,0.25,0.125,0.0141677,0.00476593,0.00231127,300.673,-9.79164,2.44609,3.41124e-05,3.1932e-07,0.000327976,0.000385813
2.25,1.25,0.25,0.125,0.0145043,0.00710544,0.0025776,300.663,-9.79172,2.44637,2.72288e-05,2.27723e-07,0.000293017,0.000344711
2.75,1.25,0.25,0.125,0.0108641,0.00557552,0.0022426,300.658,-9.79175,2.44653,2.09064e-05,1.53214e-07,0.000256745,0.000302225
3.25,1.25,0.25,0.125,0.00615186,0.00327246,0.00210956,300.657,-9.79173,2.44661,1.58064e-05,1.00658e-07,0.000223389,0.000262876
3.75,1.25,0.25,0.125,-0.000581301,-0.000204368,0.000623448,300.657,-9.7917,2.44664,9.50619e-06,4.6838e-08,0.000173643,0.000202834
