x_m,y_m,z_m
15.0,3.120688456e-24,0.0
15.0,-0.0005,0.0
15.0,-0.0010857186,0.0
15.0,-0.0017718512,0.0
15.0,-0.0025756125,0.0
15.0,-0.0035171687,0.0
15.0,-0.0046201433,0.0
15.0,-0.0059122099,0.0
15.0,-0.0074257868,0.0
15.0,-0.0091988507,0.0
15.0,-0.0112758884,0.0
15.0,-0.013709009,0.0
15.0,-0.0165592614,0.0
15.0,-0.0198981629,0.0
15.0,-0.0238094971,0.0
15.0,-0.0283913896,0.0
15.0,-0.0337588125,0.0
15.0,-0.0400464552,0.0
15.0,-0.0474120706,0.0
15.0,-0.0560404953,0.0
15.0,-0.0661482693,0.0
15.0,-0.077989,0.0
15.0,-0.0918598444,0.0
15.0,-0.1081089244,0.0
15.0,-0.1271439708,0.0
15.0,-0.1494428331,0.0
15.0,-0.1755651076,0.0
15.0,-0.2061665637,0.0
15.0,-0.2420152741,0.0
15.0,-0.2840113205,0.0
15.0,-0.3332089634,0.0
15.0,-0.3908436219,0.0
15.0,-0.4583623479,0.0
15.0,-0.5374605564,0.0
15.0,-0.6301244964,0.0
15.0,-0.7386809128,0.0
15.0,-0.8658556828,0.0
15.0,-1.01484211,0.0
15.0,-1.189379591,0.0
15.0,-1.393849564,0.0
15.0,-1.633384351,0.0
15.0,-1.913994471,0.0
15.0,-2.242721274,0.0
15.0,-2.627813621,0.0
15.0,-3.078933031,0.0
15.0,-3.607399172,0.0
15.0,-4.226470263,0.0
15.0,-4.951679077,0.0
15.0,-5.801221422,0.0
15.0,-6.796411609,0.0
15.0,-7.962216354,0.0
15.0,-9.327886623,0.0
15.0,-10.92768727,0.0
15.0,-12.80175693,0.0
15.0,-14.99711525,0.0
14.56531315,-14.99711525,0.0
14.14400254,-14.99711525,0.0
13.73565657,-14.99711525,0.0
13.33987627,-14.99711525,0.0
12.95627498,-14.99711525,0.0
12.58447792,-14.99711525,0.0
12.22412185,-14.99711525,0.0
11.8748547,-14.99711525,0.0
11.53633526,-14.99711525,0.0
11.20823278,-14.99711525,0.0
10.89022671,-14.99711525,0.0
10.58200638,-14.99711525,0.0
10.28327064,-14.99711525,0.0
9.993727637,-14.99711525,0.0
9.713094494,-14.99711525,0.0
9.441097032,-14.99711525,0.0
9.177469514,-14.99711525,0.0
8.921954379,-14.99711525,0.0
8.67430199,-14.99711525,0.0
8.434270396,-14.99711525,0.0
8.201625086,-14.99711525,0.0
7.97613877,-14.99711525,0.0
7.757591151,-14.99711525,0.0
7.545768709,-14.99711525,0.0
7.340464497,-14.99711525,0.0
7.141477934,-14.99711525,0.0
6.948614613,-14.99711525,0.0
6.761686109,-14.99711525,0.0
6.580509795,-14.99711525,0.0
6.404908663,-14.99711525,0.0
6.234711154,-14.99711525,0.0
6.069750986,-14.99711525,0.0
5.909866996,-14.99711525,0.0
5.754902977,-14.99711525,0.0
5.604707533,-14.99711525,0.0
5.459133924,-14.99711525,0.0
5.318039926,-14.99711525,0.0
5.181287692,-14.99711525,0.0
5.048743617,-14.99711525,0.0
4.920278206,-14.99711525,0.0
4.795765951,-14.99711525,0.0
4.675085204,-14.99711525,0.0
4.558118062,-14.99711525,0.0
4.444750249,-14.99711525,0.0
4.334871006,-14.99711525,0.0
4.228372982,-14.99711525,0.0
4.12515213,-14.99711525,0.0
4.025107605,-14.99711525,0.0
3.928141663,-14.99711525,0.0
3.834159571,-14.99711525,0.0
3.743069509,-14.99711525,0.0
3.654782483,-14.99711525,0.0
3.569212237,-14.99711525,0.0
3.486275171,-14.99711525,0.0
3.405890256,-14.99711525,0.0
3.327978956,-14.99711525,0.0
3.252465154,-14.99711525,0.0
3.179275073,-14.99711525,0.0
3.108337207,-14.99711525,0.0
3.039582251,-14.99711525,0.0
2.972943032,-14.99711525,0.0
2.908354445,-14.99711525,0.0
2.845753386,-14.99711525,0.0
2.785078696,-14.99711525,0.0
2.726271096,-14.99711525,0.0
2.669273131,-14.99711525,0.0
2.614029116,-14.99711525,0.0
2.560485077,-14.99711525,0.0
2.508588701,-14.99711525,0.0
2.458289289,-14.99711525,0.0
2.409537698,-14.99711525,0.0
2.362286297,-14.99711525,0.0
2.316488923,-14.99711525,0.0
2.272100832,-14.99711525,0.0
2.229078657,-14.99711525,0.0
2.187380367,-14.99711525,0.0
2.146965222,-14.99711525,0.0
2.107793737,-14.99711525,0.0
2.069827642,-14.99711525,0.0
2.033029845,-14.99711525,0.0
1.997364395,-14.99711525,0.0
1.962796447,-14.99711525,0.0
1.929292228,-14.99711525,0.0
1.896819004,-14.99711525,0.0
1.86534505,-14.99711525,0.0
1.834839616,-14.99711525,0.0
1.805272899,-14.99711525,0.0
1.77661601,-14.99711525,0.0
1.748840953,-14.99711525,0.0
1.721920591,-14.99711525,0.0
1.695828622,-14.99711525,0.0
1.670539555,-14.99711525,0.0
1.64602868,-14.99711525,0.0
1.622272049,-14.99711525,0.0
1.59924645,-14.99711525,0.0
1.576929384,-14.99711525,0.0
1.555299046,-14.99711525,0.0
1.534334298,-14.99711525,0.0
1.514014652,-14.99711525,0.0
1.49432025,-14.99711525,0.0
1.47523184,-14.99711525,0.0
1.456730762,-14.99711525,0.0
1.438798925,-14.99711525,0.0
1.421418791,-14.99711525,0.0
1.404573355,-14.99711525,0.0
1.388246127,-14.99711525,0.0
1.372421114,-14.99711525,0.0
1.357082802,-14.99711525,0.0
1.342216137,-14.99711525,0.0
1.327806508,-14.99711525,0.0
1.313839722,-14.99711525,0.0
1.300301991,-14.99711525,0.0
1.2871799,-14.99711525,0.0
1.274460389,-14.99711525,0.0
1.262130722,-14.99711525,0.0
1.250178457,-14.99711525,0.0
1.238591405,-14.99711525,0.0
1.227357588,-14.99711525,0.0
1.216465187,-14.99711525,0.0
1.205902471,-14.99711524,0.0
1.195657724,-14.99711524,0.0
1.185719139,-14.99711524,0.0
1.176074693,-14.99711524,0.0
1.16671199,-14.99711524,0.0
1.157618059,-14.99711524,0.0
1.148779095,-14.99711524,0.0
1.140180136,-14.99711523,0.0
1.131804646,-14.99711523,0.0
1.123633977,-14.99711521,0.0
1.115646689,-14.99711519,0.0
1.107817672,-14.99711516,0.0
1.100117015,-14.9971151,0.0
1.092508567,-14.99711501,0.0
1.084948077,-14.99711485,0.0
1.077380805,-14.99711459,0.0
1.069738457,-14.99711416,0.0
1.061935243,-14.99711346,0.0
1.053862808,-14.99711229,0.0
1.045383712,-14.99711035,0.0
1.036323058,-14.99710715,0.0
1.026457706,-14.99710185,0.0
1.015502428,-14.99709309,0.0
1.003092086,-14.9970786,0.0
0.988758717,-14.99705463,0.0
0.9719020698,-14.99701499,0.0
0.9517517154,-14.99694941,0.0
0.9273183226,-14.99684095,0.0
0.8973310122,-14.99666154,0.0
0.8601568195,-14.9963648,0.0
0.8136971817,-14.99587397,0.0
0.755254951,-14.99506212,0.0
0.680209587,-14.99375204,0.0
0.6051981788,-14.99211491,0.0
0.5302171964,-14.99015096,0.0
0.4552634445,-14.9878603,0.0
0.3803340361,-14.98524309,0.0
0.3054263789,-14.98229938,0.0
0.2305381585,-14.97902904,0.0
0.1556673135,-14.97543198,0.0
0.08081200565,-14.97150821,0.0
0.005970622444,-14.96725756,0.0
-0.06885824516,-14.9626797,0.0
-0.143675847,-14.9577746,0.0
-0.2184832332,-14.95254168,0.0
-0.2932813559,-14.94698091,0.0
-0.3680710245,-14.94109206,0.0
-0.4428529333,-14.93487479,0.0
-0.5176276813,-14.92832873,0.0
-0.5923957878,-14.9214535,0.0
-0.6671576731,-14.91424839,0.0
-0.7419137538,-14.90671311,0.0
-0.8166644083,-14.89884729,0.0
-0.8914099896,-14.89065051,0.0
-0.9661508357,-14.88212224,0.0
-1.040887287,-14.87326193,0.0
-1.115619693,-14.86406895,0.0
-1.19034845,-14.85454275,0.0
-1.265073967,-14.84468257,0.0
-1.339796702,-14.83448761,0.0
-1.414517229,-14.82395737,0.0
-1.489236158,-14.81309107,0.0
-1.563954165,-14.8018878,0.0
-1.638671883,-14.79034582,0.0
-1.713390318,-14.77846497,0.0
-1.788110436,-14.76624412,0.0
-1.862833384,-14.75368243,0.0
-1.937560412,-14.74077889,0.0
-2.012292853,-14.72753214,0.0
-2.087032237,-14.71394106,0.0
-2.161780216,-14.7000043,0.0
-2.236538589,-14.68572044,0.0
-2.311309293,-14.67108788,0.0
-2.386094316,-14.65610443,0.0
-2.46089599,-14.64076863,0.0
-2.535716766,-14.62507867,0.0
-2.610559283,-14.60903267,0.0
-2.685426264,-14.59262827,0.0
-2.760320806,-14.57586376,0.0
-2.83524607,-14.5587368,0.0
-2.9102054,-14.54124491,0.0
-2.985202326,-14.52338547,0.0
-3.060240565,-14.50515571,0.0
-3.135324022,-14.4865527,0.0
-3.210456792,-14.46757335,0.0
-3.285643155,-14.44821441,0.0
-3.360887454,-14.428472,0.0
-3.436194233,-14.40834216,0.0
-3.511568409,-14.38782137,0.0
-3.587015028,-14.36690571,0.0
-3.662539219,-14.34559074,0.0
-3.738146499,-14.32387247,0.0
-3.813842101,-14.30174528,0.0
-3.88963197,-14.27920499,0.0
-3.965522191,-14.25624703,0.0
-4.041518853,-14.23286613,0.0
-4.117628138,-14.20905658,0.0
-4.193856396,-14.18481244,0.0
-4.270210218,-14.16012778,0.0
-4.346695888,-14.1349952,0.0
-4.423320679,-14.1094093,0.0
-4.500091627,-14.0833634,0.0
-4.577015848,-14.05685038,0.0
-4.654100578,-14.02986284,0.0
-4.73135261,-14.00239173,0.0
-4.808779736,-13.97442992,0.0
-4.886389716,-13.94596962,0.0
