cell_id,x_m,y_m,z_m,volume_m3,U_x_m_per_s,U_y_m_per_s,U_z_m_per_s,T_K,p_m2_per_s2,p_rgh_m2_per_s2,k_m2_per_s2,epsilon_m2_per_s3,nut_m2_per_s,alphat_m2_per_s,Cd_1,LAD_per_m,qPlant_m2_per_s3
0,-5000,-5000,21.03193376616258,206386753.2325152,2.404112227125706,1.227244645578668,-1.893456971387776e-12,300.0000014668061,0,10.12327020150825,1.804619375197629,0.7476829109644033,0.3920092244216554,0.5297421012494936,0,0,0
1,5000,-5000,21.03193376616258,206386753.2325152,2.404112263791911,1.227244646318036,2.373071778262806e-15,300.0000014668063,-6.885445102966514e-09,10.1232701946228,1.804619428125502,0.7476829438581054,0.3920092301700884,0.5297421090175551,0,0,0
2,-5000,5000,21.03193376616258,206386753.2325152,2.404112259213709,1.227244644175272,-1.771118644078697e-15,300.0000014668046,-8.189772415789776e-09,10.12327019331853,1.804619417223249,0.747682937082324,0.3920092289861289,0.5297421074175348,0,0,0
3,-5000,-5000,23.12463683365929,212153860.2668276,3.867855429207328,1.964031929991047,-8.64150399707569e-14,300.0000012397866,-20.52941700890313,10.12327021528613,1.878753013665359,0.3266720019362542,0.9724560350724214,1.314129543376978,0,0,0
4,5000,5000,21.03193376616257,206386753.2325152,2.40411229590409,1.227244644921256,-7.335605678796219e-16,300.000001466807,-8.03568411811284e-09,10.12327019347254,1.804619470178887,0.7476829699948424,0.3920092347367592,0.5297421151891162,0,0,0
5,5000,-5000,23.12463683365929,212153860.2668276,3.867855483906093,1.964031929138581,5.333144593673811e-15,300.0000012397862,-20.52941701577737,10.12327020841193,1.878753072692718,0.3266720161923423,0.972456053740046,1.314129568604079,0,0,0
6,-5000.000000000001,5000.000000000001,23.12463683365929,212153860.2668276,3.867855478434352,1.964031926637879,5.885675850096448e-15,300.0000012397854,-20.52941701708175,10.12327020710762,1.878753059460524,0.3266720132548501,0.9724560487863846,1.314129561909599,0,0,0
7,-4999.999999999999,-4999.999999999999,25.27581672872492,218082118.7462992,4.675408131238223,2.365345631283565,1.176247400227264e-13,300.0000011146826,-41.63249170503975,10.12327023067802,1.830294423663547,0.1931940262117947,1.560596861447064,2.10891430962634,0,0,0
8,5000.000000000001,5000.000000000001,23.12463683365929,212153860.2668276,3.867855533153531,1.964031925786944,2.267166951542901e-15,300.0000012397866,-20.52941701692761,10.12327020726167,1.878753118487853,0.3266720275123796,0.9724560674496885,1.314129587131767,0,0,0
9,4999.999999999999,-5000,25.27581672872492,218082118.7462991,4.675408193355011,2.36534562825796,-2.587093518677924e-15,300.0000011146825,-41.63249171189591,10.12327022382187,1.830294487448209,0.1931940351941554,1.56059689766042,2.108914358564765,0,0,0
